SNR_dB, BER_my, BER_matlab, EVM_my, EVM_matlab
0.000000, 0.173340, 0.173340, 0.995791, 0.995791
0.500000, 0.138672, 0.138672, 0.930770, 0.930770
1.000000, 0.117676, 0.117676, 0.851344, 0.851344
1.500000, 0.106934, 0.106934, 0.841634, 0.841634
2.000000, 0.109375, 0.109375, 0.807524, 0.807524
2.500000, 0.084473, 0.084473, 0.740331, 0.740331
3.000000, 0.082031, 0.082031, 0.696384, 0.696384
3.500000, 0.062988, 0.062988, 0.651182, 0.651182
4.000000, 0.046875, 0.046875, 0.593147, 0.593147
4.500000, 0.054199, 0.054199, 0.609117, 0.609117
5.000000, 0.034668, 0.034668, 0.559984, 0.559984
5.500000, 0.030762, 0.030762, 0.548468, 0.548468
6.000000, 0.020996, 0.020996, 0.498116, 0.498116
6.500000, 0.021973, 0.021973, 0.476970, 0.476970
7.000000, 0.010254, 0.010254, 0.443212, 0.443212
7.500000, 0.008301, 0.008301, 0.429705, 0.429705
8.000000, 0.007324, 0.007324, 0.399214, 0.399214
8.500000, 0.002930, 0.002930, 0.365652, 0.365652
9.000000, 0.002930, 0.002930, 0.345158, 0.345158
9.500000, 0.000000, 0.000000, 0.329686, 0.329686
10.000000, 0.000977, 0.000977, 0.317274, 0.317274
10.500000, 0.000000, 0.000000, 0.286038, 0.286038
11.000000, 0.000000, 0.000000, 0.284625, 0.284625
11.500000, 0.000000, 0.000000, 0.269216, 0.269216
12.000000, 0.000000, 0.000000, 0.254038, 0.254038
12.500000, 0.000000, 0.000000, 0.240850, 0.240850
13.000000, 0.000000, 0.000000, 0.221922, 0.221922
13.500000, 0.000000, 0.000000, 0.217743, 0.217743
14.000000, 0.000000, 0.000000, 0.197668, 0.197668
14.500000, 0.000000, 0.000000, 0.188030, 0.188030
15.000000, 0.000000, 0.000000, 0.183525, 0.183525
15.500000, 0.000000, 0.000000, 0.173866, 0.173866
16.000000, 0.000000, 0.000000, 0.157387, 0.157387
16.500000, 0.000000, 0.000000, 0.151551, 0.151551
17.000000, 0.000000, 0.000000, 0.139629, 0.139629
17.500000, 0.000000, 0.000000, 0.132718, 0.132718
18.000000, 0.000000, 0.000000, 0.124488, 0.124488
18.500000, 0.000000, 0.000000, 0.121141, 0.121141
19.000000, 0.000000, 0.000000, 0.109567, 0.109567
19.500000, 0.000000, 0.000000, 0.104233, 0.104233
20.000000, 0.000000, 0.000000, 0.098949, 0.098949
20.500000, 0.000000, 0.000000, 0.094981, 0.094981
21.000000, 0.000000, 0.000000, 0.089267, 0.089267
21.500000, 0.000000, 0.000000, 0.085061, 0.085061
22.000000, 0.000000, 0.000000, 0.078502, 0.078502
22.500000, 0.000000, 0.000000, 0.074202, 0.074202
23.000000, 0.000000, 0.000000, 0.071711, 0.071711
23.500000, 0.000000, 0.000000, 0.067277, 0.067277
24.000000, 0.000000, 0.000000, 0.061564, 0.061564
24.500000, 0.000000, 0.000000, 0.058615, 0.058615
25.000000, 0.000000, 0.000000, 0.058186, 0.058186
