SNR_dB, BER_my, BER_matlab, EVM_my, EVM_matlab
0.000000, 0.079102, 0.079102, 0.984864, 0.984864
0.500000, 0.060547, 0.060547, 0.940101, 0.940101
1.000000, 0.061523, 0.061523, 0.861681, 0.861681
1.500000, 0.035156, 0.035156, 0.839838, 0.839838
2.000000, 0.037109, 0.037109, 0.805437, 0.805437
2.500000, 0.020508, 0.020508, 0.746177, 0.746177
3.000000, 0.019531, 0.019531, 0.696082, 0.696082
3.500000, 0.013672, 0.013672, 0.651927, 0.651927
4.000000, 0.014648, 0.014648, 0.595647, 0.595647
4.500000, 0.007812, 0.007812, 0.611322, 0.611322
5.000000, 0.005859, 0.005859, 0.559647, 0.559647
5.500000, 0.005859, 0.005859, 0.549591, 0.549591
6.000000, 0.001953, 0.001953, 0.497707, 0.497707
6.500000, 0.001953, 0.001953, 0.476190, 0.476190
7.000000, 0.000000, 0.000000, 0.444562, 0.444562
7.500000, 0.000000, 0.000000, 0.431626, 0.431626
8.000000, 0.000000, 0.000000, 0.397927, 0.397927
8.500000, 0.000000, 0.000000, 0.364205, 0.364205
9.000000, 0.000000, 0.000000, 0.344490, 0.344490
9.500000, 0.000000, 0.000000, 0.329511, 0.329511
10.000000, 0.000000, 0.000000, 0.316676, 0.316676
10.500000, 0.000000, 0.000000, 0.286192, 0.286192
11.000000, 0.000000, 0.000000, 0.285046, 0.285046
11.500000, 0.000000, 0.000000, 0.266982, 0.266982
12.000000, 0.000000, 0.000000, 0.256707, 0.256707
12.500000, 0.000000, 0.000000, 0.238888, 0.238888
13.000000, 0.000000, 0.000000, 0.221119, 0.221119
13.500000, 0.000000, 0.000000, 0.217988, 0.217988
14.000000, 0.000000, 0.000000, 0.198512, 0.198512
14.500000, 0.000000, 0.000000, 0.188180, 0.188180
15.000000, 0.000000, 0.000000, 0.182054, 0.182054
15.500000, 0.000000, 0.000000, 0.173494, 0.173494
16.000000, 0.000000, 0.000000, 0.156008, 0.156008
16.500000, 0.000000, 0.000000, 0.150901, 0.150901
17.000000, 0.000000, 0.000000, 0.139082, 0.139082
17.500000, 0.000000, 0.000000, 0.132858, 0.132858
18.000000, 0.000000, 0.000000, 0.123466, 0.123466
18.500000, 0.000000, 0.000000, 0.120829, 0.120829
19.000000, 0.000000, 0.000000, 0.109614, 0.109614
19.500000, 0.000000, 0.000000, 0.104039, 0.104039
20.000000, 0.000000, 0.000000, 0.099158, 0.099158
20.500000, 0.000000, 0.000000, 0.093634, 0.093634
21.000000, 0.000000, 0.000000, 0.090124, 0.090124
21.500000, 0.000000, 0.000000, 0.084117, 0.084117
22.000000, 0.000000, 0.000000, 0.078746, 0.078746
22.500000, 0.000000, 0.000000, 0.074650, 0.074650
23.000000, 0.000000, 0.000000, 0.071819, 0.071819
23.500000, 0.000000, 0.000000, 0.066763, 0.066763
24.000000, 0.000000, 0.000000, 0.061813, 0.061813
24.500000, 0.000000, 0.000000, 0.058783, 0.058783
25.000000, 0.000000, 0.000000, 0.057855, 0.057855
