SNR, bpsk, qpsk, 8psk, qam16, qam64
0.000000, 0.078650, 0.078650, 0.122690, 0.140980, 0.199840
0.500000, 0.067065, 0.067065, 0.111540, 0.129900, 0.188770
1.000000, 0.056282, 0.056282, 0.100800, 0.119000, 0.177910
1.500000, 0.046401, 0.046401, 0.090484, 0.108270, 0.167300
2.000000, 0.037506, 0.037506, 0.080609, 0.097742, 0.156970
2.500000, 0.029655, 0.029655, 0.071190, 0.087451, 0.146930
3.000000, 0.022878, 0.022878, 0.062246, 0.077453, 0.137190
3.500000, 0.017173, 0.017173, 0.053802, 0.067818, 0.127720
4.000000, 0.012501, 0.012501, 0.045895, 0.058624, 0.118520
4.500000, 0.008794, 0.008794, 0.038566, 0.049955, 0.109550
5.000000, 0.005954, 0.005954, 0.031861, 0.041893, 0.100790
5.500000, 0.003862, 0.003862, 0.025822, 0.034511, 0.092216
6.000000, 0.002388, 0.002388, 0.020482, 0.027871, 0.083817
6.500000, 0.001400, 0.001400, 0.015859, 0.022016, 0.075600
7.000000, 0.000773, 0.000773, 0.011953, 0.016967, 0.067587
7.500000, 0.000399, 0.000399, 0.008741, 0.012720, 0.059815
8.000000, 0.000191, 0.000191, 0.006181, 0.009247, 0.052334
8.500000, 0.000084, 0.000084, 0.004209, 0.006495, 0.045203
9.000000, 0.000034, 0.000034, 0.002748, 0.004390, 0.038485
9.500000, 0.000012, 0.000012, 0.001712, 0.002843, 0.032242
10.000000, 0.000004, 0.000004, 0.001011, 0.001754, 0.026533
10.500000, 0.000001, 0.000001, 0.000563, 0.001026, 0.021402
11.000000, 0.000000, 0.000000, 0.000294, 0.000565, 0.016884
11.500000, 0.000000, 0.000000, 0.000142, 0.000291, 0.012992
12.000000, 0.000000, 0.000000, 0.000063, 0.000139, 0.009724
12.500000, 0.000000, 0.000000, 0.000026, 0.000061, 0.007056
13.000000, 0.000000, 0.000000, 0.000009, 0.000024, 0.004946
13.500000, 0.000000, 0.000000, 0.000003, 0.000009, 0.003335
14.000000, 0.000000, 0.000000, 0.000001, 0.000003, 0.002154
14.500000, 0.000000, 0.000000, 0.000000, 0.000001, 0.001325
15.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000772
15.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000424
16.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000217
16.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000103
17.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000045
17.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000018
18.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000006
18.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000002
19.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000001
19.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
20.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
20.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
21.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
21.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
22.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
22.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
23.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
23.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
24.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
24.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
