SNR_dB, BER_my, BER_matlab, EVM_my, EVM_matlab
0.000000, 0.152832, 0.152832, 0.989837, 0.989837
0.500000, 0.152832, 0.152832, 0.951062, 0.951062
1.000000, 0.135254, 0.135254, 0.914402, 0.914402
1.500000, 0.107422, 0.107422, 0.824138, 0.824138
2.000000, 0.096680, 0.096680, 0.789822, 0.789822
2.500000, 0.086426, 0.086426, 0.750425, 0.750425
3.000000, 0.085449, 0.085449, 0.709517, 0.709517
3.500000, 0.073730, 0.073730, 0.679845, 0.679845
4.000000, 0.052734, 0.052734, 0.620765, 0.620765
4.500000, 0.043945, 0.043945, 0.606587, 0.606587
5.000000, 0.046387, 0.046387, 0.565664, 0.565664
5.500000, 0.024902, 0.024902, 0.518012, 0.518012
6.000000, 0.025879, 0.025879, 0.499529, 0.499529
6.500000, 0.016113, 0.016113, 0.463646, 0.463646
7.000000, 0.011230, 0.011230, 0.451365, 0.451365
7.500000, 0.007812, 0.007812, 0.411963, 0.411963
8.000000, 0.005859, 0.005859, 0.393859, 0.393859
8.500000, 0.004395, 0.004395, 0.377859, 0.377859
9.000000, 0.001465, 0.001465, 0.348963, 0.348963
9.500000, 0.000977, 0.000977, 0.337223, 0.337223
10.000000, 0.000488, 0.000488, 0.315953, 0.315953
10.500000, 0.000000, 0.000000, 0.301770, 0.301770
11.000000, 0.000977, 0.000977, 0.285560, 0.285560
11.500000, 0.000000, 0.000000, 0.259772, 0.259772
12.000000, 0.000000, 0.000000, 0.252187, 0.252187
12.500000, 0.000000, 0.000000, 0.238446, 0.238446
13.000000, 0.000000, 0.000000, 0.218868, 0.218868
13.500000, 0.000000, 0.000000, 0.213258, 0.213258
14.000000, 0.000000, 0.000000, 0.208487, 0.208487
14.500000, 0.000000, 0.000000, 0.192854, 0.192854
15.000000, 0.000000, 0.000000, 0.179540, 0.179540
15.500000, 0.000000, 0.000000, 0.164524, 0.164524
16.000000, 0.000000, 0.000000, 0.157541, 0.157541
16.500000, 0.000000, 0.000000, 0.150349, 0.150349
17.000000, 0.000000, 0.000000, 0.138639, 0.138639
17.500000, 0.000000, 0.000000, 0.136866, 0.136866
18.000000, 0.000000, 0.000000, 0.122901, 0.122901
18.500000, 0.000000, 0.000000, 0.119633, 0.119633
19.000000, 0.000000, 0.000000, 0.113635, 0.113635
19.500000, 0.000000, 0.000000, 0.105751, 0.105751
20.000000, 0.000000, 0.000000, 0.098744, 0.098744
20.500000, 0.000000, 0.000000, 0.092109, 0.092109
21.000000, 0.000000, 0.000000, 0.087752, 0.087752
21.500000, 0.000000, 0.000000, 0.085007, 0.085007
22.000000, 0.000000, 0.000000, 0.079411, 0.079411
22.500000, 0.000000, 0.000000, 0.074287, 0.074287
23.000000, 0.000000, 0.000000, 0.071735, 0.071735
23.500000, 0.000000, 0.000000, 0.068035, 0.068035
24.000000, 0.000000, 0.000000, 0.061922, 0.061922
24.500000, 0.000000, 0.000000, 0.059479, 0.059479
25.000000, 0.000000, 0.000000, 0.056185, 0.056185
