SNR_dB, BER_my, BER_matlab, EVM_my, EVM_matlab
0.000000, 0.363770, 0.363770, 1.009074, 1.009074
0.500000, 0.348633, 0.348633, 0.939102, 0.939102
1.000000, 0.343262, 0.343262, 0.885516, 0.885516
1.500000, 0.340495, 0.340495, 0.855758, 0.855758
2.000000, 0.318359, 0.318359, 0.799014, 0.799014
2.500000, 0.304199, 0.304199, 0.761133, 0.761133
3.000000, 0.305990, 0.305990, 0.703055, 0.703055
3.500000, 0.293294, 0.293294, 0.660970, 0.660970
4.000000, 0.294434, 0.294434, 0.649079, 0.649079
4.500000, 0.266602, 0.266602, 0.588571, 0.588571
5.000000, 0.270020, 0.270020, 0.566259, 0.566259
5.500000, 0.252930, 0.252930, 0.525734, 0.525734
6.000000, 0.233236, 0.233236, 0.495731, 0.495731
6.500000, 0.229329, 0.229329, 0.482210, 0.482210
7.000000, 0.219889, 0.219889, 0.448145, 0.448145
7.500000, 0.208008, 0.208008, 0.417890, 0.417890
8.000000, 0.196126, 0.196126, 0.393066, 0.393066
8.500000, 0.184896, 0.184896, 0.381234, 0.381234
9.000000, 0.179199, 0.179199, 0.363858, 0.363858
9.500000, 0.161947, 0.161947, 0.339873, 0.339873
10.000000, 0.157715, 0.157715, 0.317996, 0.317996
10.500000, 0.144206, 0.144206, 0.290898, 0.290898
11.000000, 0.137695, 0.137695, 0.284346, 0.284346
11.500000, 0.130371, 0.130371, 0.271445, 0.271445
12.000000, 0.110514, 0.110514, 0.249260, 0.249260
12.500000, 0.102539, 0.102539, 0.235471, 0.235471
13.000000, 0.097168, 0.097168, 0.218868, 0.218868
13.500000, 0.085612, 0.085612, 0.210949, 0.210949
14.000000, 0.081055, 0.081055, 0.201583, 0.201583
14.500000, 0.074219, 0.074219, 0.191604, 0.191604
15.000000, 0.063151, 0.063151, 0.179040, 0.179040
15.500000, 0.050456, 0.050456, 0.163028, 0.163028
16.000000, 0.046387, 0.046387, 0.157362, 0.157362
16.500000, 0.041504, 0.041504, 0.149896, 0.149896
17.000000, 0.035319, 0.035319, 0.139725, 0.139725
17.500000, 0.031413, 0.031413, 0.134638, 0.134638
18.000000, 0.024740, 0.024740, 0.128816, 0.128816
18.500000, 0.019368, 0.019368, 0.117851, 0.117851
19.000000, 0.018717, 0.018717, 0.117007, 0.117007
19.500000, 0.012695, 0.012695, 0.106988, 0.106988
20.000000, 0.009115, 0.009115, 0.099161, 0.099161
20.500000, 0.006999, 0.006999, 0.095379, 0.095379
21.000000, 0.004395, 0.004395, 0.091170, 0.091170
21.500000, 0.002767, 0.002767, 0.084729, 0.084729
22.000000, 0.001953, 0.001953, 0.080523, 0.080523
22.500000, 0.000651, 0.000651, 0.071924, 0.071924
23.000000, 0.000651, 0.000651, 0.071720, 0.071720
23.500000, 0.000163, 0.000163, 0.065923, 0.065923
24.000000, 0.000000, 0.000000, 0.063718, 0.063718
24.500000, 0.000163, 0.000163, 0.060023, 0.060023
25.000000, 0.000000, 0.000000, 0.056033, 0.056033
