SNR_dB, BER_ZF, BER_MMSE, EVM_ZF, EVM_MMSE
1.000000, 0.245605, 0.245605, 2.122077, 0.840373
1.500000, 0.240479, 0.240479, 2.254187, 0.829254
2.000000, 0.224365, 0.224365, 2.043112, 0.808922
2.500000, 0.212158, 0.212158, 1.874055, 0.791578
3.000000, 0.180664, 0.180664, 1.665562, 0.767147
3.500000, 0.165527, 0.165527, 1.859959, 0.747958
4.000000, 0.151123, 0.151123, 2.819530, 0.726192
4.500000, 0.145752, 0.145752, 1.304369, 0.709880
5.000000, 0.124023, 0.124023, 1.694320, 0.680449
5.500000, 0.120850, 0.120850, 1.291979, 0.665339
6.000000, 0.103516, 0.103516, 1.565695, 0.636915
6.500000, 0.087402, 0.087402, 1.137232, 0.619060
7.000000, 0.073486, 0.073486, 1.280679, 0.586364
7.500000, 0.066650, 0.066650, 1.426354, 0.567459
8.000000, 0.048340, 0.048340, 0.896092, 0.535873
8.500000, 0.046875, 0.046875, 0.804082, 0.513009
9.000000, 0.042236, 0.042236, 0.771554, 0.495843
9.500000, 0.033447, 0.033447, 0.654822, 0.473555
10.000000, 0.027588, 0.027588, 0.619087, 0.449885
10.500000, 0.021973, 0.021973, 0.579424, 0.429875
11.000000, 0.017334, 0.017334, 0.688785, 0.408700
11.500000, 0.010986, 0.010986, 1.120383, 0.384238
12.000000, 0.011230, 0.011230, 0.459936, 0.369905
12.500000, 0.008789, 0.008789, 0.459649, 0.348511
13.000000, 0.006836, 0.006836, 0.395622, 0.332096
13.500000, 0.003418, 0.003418, 0.388709, 0.315276
14.000000, 0.002441, 0.002441, 0.360999, 0.306069
14.500000, 0.001709, 0.001709, 0.350949, 0.288766
15.000000, 0.001465, 0.001465, 0.299010, 0.270053
15.500000, 0.000977, 0.000977, 0.283380, 0.257209
16.000000, 0.000977, 0.000977, 0.271900, 0.243582
16.500000, 0.000488, 0.000488, 0.260416, 0.234500
17.000000, 0.000488, 0.000488, 0.245856, 0.221630
17.500000, 0.000244, 0.000244, 0.223439, 0.210013
18.000000, 0.000000, 0.000000, 0.210419, 0.198400
18.500000, 0.000244, 0.000244, 0.199748, 0.190210
19.000000, 0.000244, 0.000244, 0.188909, 0.179559
19.500000, 0.000000, 0.000000, 0.180076, 0.172737
20.000000, 0.000000, 0.000000, 0.168025, 0.161181
20.500000, 0.000000, 0.000000, 0.158402, 0.151488
21.000000, 0.000000, 0.000000, 0.149083, 0.144331
21.500000, 0.000000, 0.000000, 0.140400, 0.135943
22.000000, 0.000000, 0.000000, 0.133103, 0.128785
22.500000, 0.000000, 0.000000, 0.123092, 0.118764
23.000000, 0.000000, 0.000000, 0.119427, 0.115980
23.500000, 0.000000, 0.000000, 0.113643, 0.111409
24.000000, 0.000000, 0.000000, 0.104148, 0.101658
24.500000, 0.000000, 0.000000, 0.099542, 0.097786
25.000000, 0.000000, 0.000000, 0.090780, 0.090081
