SNR_dB, BER_ZF_SISO, BER_MMSE_SISO, EVM_ZF_SISO, EVM_MMSE_SISO, BER_ZF_SIMO, BER_MMSE_SIMO, EVM_ZF_SIMO, EVM_MMSE_SIMO
1.000000, 0.258643, 0.258643, 3.060791, 0.860917, 0.184082, 0.184082, 0.940330, 0.772505
1.500000, 0.247998, 0.247998, 2.450967, 0.839550, 0.175488, 0.175488, 0.922113, 0.766214
2.000000, 0.230029, 0.230029, 2.706798, 0.851670, 0.154053, 0.154053, 0.889197, 0.722376
2.500000, 0.212939, 0.212939, 2.141418, 0.818965, 0.135205, 0.135205, 0.854950, 0.696223
3.000000, 0.185742, 0.185742, 2.024131, 0.808596, 0.131396, 0.131396, 0.847689, 0.684811
3.500000, 0.195557, 0.195557, 1.865129, 0.777906, 0.107910, 0.107910, 0.747273, 0.653549
4.000000, 0.176465, 0.176465, 1.975464, 0.752789, 0.086621, 0.086621, 0.693888, 0.612304
4.500000, 0.153857, 0.153857, 1.773240, 0.774663, 0.088232, 0.088232, 0.777179, 0.616369
5.000000, 0.138379, 0.138379, 1.533096, 0.720439, 0.068164, 0.068164, 0.671122, 0.583095
5.500000, 0.125879, 0.125879, 1.608846, 0.711231, 0.048438, 0.048438, 0.598250, 0.530379
6.000000, 0.109961, 0.109961, 1.454769, 0.713239, 0.048975, 0.048975, 0.619273, 0.531427
6.500000, 0.088086, 0.088086, 1.297093, 0.631872, 0.041113, 0.041113, 0.564708, 0.510413
7.000000, 0.089844, 0.089844, 1.431041, 0.613552, 0.035693, 0.035693, 0.532395, 0.487829
7.500000, 0.106006, 0.106006, 1.753942, 0.659357, 0.038965, 0.038965, 0.553842, 0.493308
8.000000, 0.043701, 0.043701, 0.853769, 0.561167, 0.017432, 0.017432, 0.465214, 0.428625
8.500000, 0.048242, 0.048242, 1.022703, 0.545204, 0.014258, 0.014258, 0.440563, 0.403123
9.000000, 0.060449, 0.060449, 1.120299, 0.531565, 0.010303, 0.010303, 0.440408, 0.405407
9.500000, 0.059912, 0.059912, 1.007763, 0.554391, 0.018262, 0.018262, 0.448691, 0.409725
10.000000, 0.037402, 0.037402, 0.944962, 0.499959, 0.008252, 0.008252, 0.392193, 0.368782
10.500000, 0.025586, 0.025586, 0.702129, 0.468386, 0.010205, 0.010205, 0.376763, 0.352739
11.000000, 0.027393, 0.027393, 0.706634, 0.456019, 0.008496, 0.008496, 0.352461, 0.331726
11.500000, 0.032764, 0.032764, 0.870734, 0.451994, 0.001709, 0.001709, 0.310760, 0.296141
12.000000, 0.011963, 0.011963, 0.511193, 0.387624, 0.002393, 0.002393, 0.314391, 0.300324
12.500000, 0.013281, 0.013281, 0.510722, 0.381309, 0.002344, 0.002344, 0.297726, 0.284573
13.000000, 0.019189, 0.019189, 0.697152, 0.386841, 0.002441, 0.002441, 0.290193, 0.275546
13.500000, 0.010205, 0.010205, 0.427179, 0.352847, 0.001221, 0.001221, 0.256249, 0.246077
14.000000, 0.012256, 0.012256, 0.525884, 0.361904, 0.002051, 0.002051, 0.245300, 0.235443
14.500000, 0.015625, 0.015625, 0.521372, 0.355010, 0.000244, 0.000244, 0.229149, 0.222837
15.000000, 0.016309, 0.016309, 0.510726, 0.338974, 0.000049, 0.000049, 0.223911, 0.217654
15.500000, 0.009668, 0.009668, 0.533626, 0.297679, 0.000049, 0.000049, 0.201954, 0.196242
16.000000, 0.004199, 0.004199, 0.338064, 0.290804, 0.000781, 0.000781, 0.193611, 0.189620
16.500000, 0.008984, 0.008984, 0.428074, 0.281575, 0.000098, 0.000098, 0.177887, 0.174633
17.000000, 0.003809, 0.003809, 0.275695, 0.242203, 0.000049, 0.000049, 0.193929, 0.189499
17.500000, 0.007861, 0.007861, 0.388505, 0.271918, 0.000000, 0.000000, 0.159106, 0.156775
18.000000, 0.000488, 0.000488, 0.232037, 0.207376, 0.000098, 0.000098, 0.168499, 0.165056
18.500000, 0.002734, 0.002734, 0.238785, 0.213306, 0.000049, 0.000049, 0.146341, 0.144665
19.000000, 0.003467, 0.003467, 0.477139, 0.259291, 0.000000, 0.000000, 0.132855, 0.132036
19.500000, 0.004687, 0.004687, 0.269025, 0.214588, 0.000586, 0.000586, 0.157883, 0.153206
20.000000, 0.008838, 0.008838, 0.347393, 0.231289, 0.000049, 0.000049, 0.119898, 0.119105
20.500000, 0.002344, 0.002344, 0.260492, 0.189403, 0.000000, 0.000000, 0.111926, 0.111388
21.000000, 0.004883, 0.004883, 0.299031, 0.192803, 0.000000, 0.000000, 0.106494, 0.106044
21.500000, 0.002197, 0.002197, 0.219213, 0.177003, 0.000000, 0.000000, 0.106110, 0.105754
22.000000, 0.001611, 0.001611, 0.221957, 0.176005, 0.000000, 0.000000, 0.098686, 0.098133
22.500000, 0.001270, 0.001270, 0.167734, 0.140357, 0.000098, 0.000098, 0.096289, 0.095342
23.000000, 0.005176, 0.005176, 0.356754, 0.176518, 0.000000, 0.000000, 0.080123, 0.079863
23.500000, 0.001465, 0.001465, 0.151812, 0.129275, 0.000000, 0.000000, 0.083887, 0.083623
24.000000, 0.001172, 0.001172, 0.145435, 0.127277, 0.000000, 0.000000, 0.078667, 0.078284
24.500000, 0.001660, 0.001660, 0.156721, 0.134900, 0.000000, 0.000000, 0.078105, 0.077896
25.000000, 0.000244, 0.000244, 0.135891, 0.114048, 0.000000, 0.000000, 0.069575, 0.069399
