SNR_dB, BER_ZF, BER_MMSE, EVM_ZF, EVM_MMSE
0.000000, 0.295086, 0.295086, 0.936663, 0.895830
3.000000, 0.185161, 0.185161, 0.783930, 0.763356
6.000000, 0.082645, 0.082645, 0.610564, 0.604027
9.000000, 0.022062, 0.022062, 0.452225, 0.450600
12.000000, 0.003135, 0.003135, 0.327114, 0.326373
15.000000, 0.000314, 0.000314, 0.234392, 0.233937
18.000000, 0.000020, 0.000020, 0.167000, 0.166772
21.000000, 0.000000, 0.000000, 0.118601, 0.118501
24.000000, 0.000000, 0.000000, 0.084088, 0.084046
27.000000, 0.000000, 0.000000, 0.059570, 0.059553
30.000000, 0.000000, 0.000000, 0.042185, 0.042178
33.000000, 0.000000, 0.000000, 0.029869, 0.029865
36.000000, 0.000000, 0.000000, 0.021146, 0.021145
39.000000, 0.000000, 0.000000, 0.014971, 0.014970
42.000000, 0.000000, 0.000000, 0.010598, 0.010598
